POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
4.456561,3.495647,0.839779,0.325413,0.365118,3.269726,1.190943,1.039884,0.253717,0.246723,2.582711,1.637338,0.815857,0.315668,0.162002,2.517824,1.108065,0.860065,0.257989,0.21319,1.731018,2.39774,0.850172,0.243437,0.19016,2.514065,2.599267,0.866467,0.56496,0.204749,2.894001,1.863383,0.776777,0.361472,0.115094,5.163556,3.889756,1.243142,0.484626,0.505424,concentrate
4.559149,2.99562,0.647689,0.346526,0.35381,3.316445,1.317984,0.91658,0.253443,0.233739,2.578,1.581094,0.60394,0.245496,0.149877,2.457644,1.149213,0.726048,0.253037,0.202908,1.601864,2.174839,0.781761,0.258819,0.187632,2.270699,2.152189,0.93975,0.514642,0.19012,2.944814,1.740112,0.686319,0.350444,0.103355,4.987143,3.16784,1.268595,0.607042,0.505051,concentrate
4.54397,2.642398,0.543687,0.388384,0.341476,3.418697,1.674606,0.825198,0.27888,0.236419,2.498729,1.749298,0.478276,0.213433,0.144338,2.443247,1.389654,0.606704,0.270512,0.193883,1.50358,1.907949,0.788862,0.292487,0.184006,1.944802,1.737267,1.030698,0.477959,0.196056,2.914105,1.563573,0.701038,0.366735,0.105281,4.670785,2.560813,1.488662,0.790922,0.536448,concentrate
4.526125,2.499658,0.570819,0.450692,0.334778,3.412848,2.231747,0.802202,0.325729,0.259437,2.28928,2.167852,0.505571,0.222675,0.147757,2.386905,1.858517,0.549847,0.307764,0.191113,1.445733,1.684029,0.858287,0.34603,0.177649,1.642486,1.486924,1.177416,0.477159,0.208492,2.846797,1.393198,0.793055,0.415693,0.11683,4.284886,2.196802,1.809338,0.999529,0.58964,concentrate
4.524489,2.525326,0.731554,0.528926,0.33457,3.224709,2.861127,0.851462,0.385452,0.300356,1.989161,2.741983,0.696653,0.263827,0.159349,2.249737,2.483954,0.572006,0.356653,0.195036,1.437689,1.572027,0.960717,0.408932,0.169387,1.496772,1.451029,1.406443,0.512482,0.21636,2.811745,1.2697,0.91213,0.487098,0.133335,4.052205,2.064295,2.122135,1.176564,0.644329,concentrate
4.670009,2.606431,0.984181,0.616251,0.336724,2.899475,3.386632,0.940479,0.446189,0.346787,1.707407,3.306671,1.004127,0.318859,0.174319,2.062125,3.120821,0.652226,0.404334,0.200808,1.516043,1.587476,1.056183,0.464844,0.160038,1.555522,1.574755,1.695999,0.56427,0.214861,2.828892,1.204015,1.008709,0.557522,0.149771,3.999155,2.053792,2.356915,1.273221,0.677424,concentrate
4.961946,2.61914,1.249887,0.70658,0.340875,2.568704,3.653918,1.020862,0.501693,0.382244,1.576294,3.686686,1.340185,0.37086,0.186389,1.912422,3.60186,0.752071,0.440015,0.202126,1.671121,1.685904,1.102747,0.494422,0.150184,1.843649,1.736197,1.969478,0.599746,0.204,2.893217,1.186151,1.048338,0.594719,0.161725,4.145775,2.035901,2.4794,1.260468,0.67899,concentrate
5.354331,2.498785,1.444954,0.792575,0.356438,2.404745,3.579772,1.057023,0.551912,0.396662,1.633836,3.765703,1.614671,0.412054,0.192336,1.884407,3.796366,0.840942,0.460835,0.196883,1.885293,1.807092,1.083421,0.49047,0.141596,2.32133,1.827194,2.138558,0.596967,0.188871,2.937347,1.213894,1.037333,0.580413,0.167128,4.428501,1.945049,2.507025,1.15813,0.660953,concentrate
5.72163,2.267523,1.516355,0.871209,0.398576,2.453163,3.19579,1.076555,0.606783,0.393941,1.797538,3.523492,1.76428,0.445471,0.194092,1.976943,3.652987,0.929454,0.477407,0.190086,2.138429,1.913341,1.024069,0.464439,0.137745,2.871027,1.831945,2.142481,0.561449,0.177037,2.900018,1.294683,1.025043,0.526459,0.167682,4.65529,1.839411,2.490097,1.024121,0.646745,concentrate
5.904985,2.012115,1.463754,0.944306,0.476771,2.725068,2.655041,1.155636,0.671055,0.387155,1.958903,3.042028,1.769429,0.475755,0.196299,2.161456,3.230709,1.05419,0.499216,0.189479,2.650489,1.979157,0.986075,0.44029,0.141964,3.483051,1.779421,1.975702,0.518167,0.175532,2.929501,1.436949,1.076843,0.46682,0.167447,4.942522,1.815156,2.463748,0.918377,0.657824,concentrate
5.91029,1.812197,1.333006,1.017022,0.585577,3.154138,2.13325,1.341509,0.733365,0.387619,2.028485,2.445308,1.647098,0.505192,0.202119,2.382638,2.651602,1.225868,0.527191,0.198922,3.706269,2.04903,1.042758,0.437767,0.153985,4.16517,1.722844,1.725115,0.500565,0.187091,3.284484,1.672825,1.241004,0.432223,0.169262,5.391334,1.937031,2.43274,0.880808,0.698833,concentrate
5.779096,1.694846,1.192683,1.091272,0.701813,3.700679,1.763104,1.616289,0.771619,0.397849,2.012725,1.847662,1.440895,0.532156,0.210643,2.631793,2.058165,1.417737,0.5542,0.215325,5.489123,2.192505,1.232956,0.463821,0.16925,4.944142,1.684737,1.523208,0.530451,0.208875,4.169264,2.003169,1.513997,0.43636,0.173893,6.062526,2.163747,2.388213,0.924459,0.756052,concentrate
5.549298,1.658734,1.106689,1.163054,0.79414,4.277463,1.62398,1.906643,0.766448,0.410589,1.972429,1.357932,1.220718,0.555223,0.217379,2.91364,1.598735,1.583546,0.571789,0.231028,7.786015,2.435961,1.533328,0.514509,0.181336,5.766454,1.642058,1.473749,0.603385,0.233925,5.503854,2.37326,1.830221,0.473421,0.180423,6.816185,2.373322,2.317584,1.032499,0.80859,concentrate
5.308705,1.679891,1.11412,1.21946,0.83521,4.810726,1.703201,2.115519,0.714751,0.412639,1.980602,1.038401,1.047283,0.57812,0.215878,3.233988,1.358965,1.671725,0.576852,0.237656,10.000994,2.709081,1.858099,0.578992,0.184702,6.493485,1.557754,1.590601,0.695336,0.253661,6.890227,2.669362,2.079974,0.523311,0.186934,7.364997,2.427026,2.205216,1.178217,0.839989,concentrate
